wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,redGoal,,,blueGoal,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,,,,,train,uhalfground,uhalfground,uhalfground,mhalfground,dhalfground,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,uhalfground,uhalfground,mhalfground,dhalfground,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,uhalfground,mhalfground,,,,,wall
wall,,,,,,,,,chain,,,,,,,,,,chain,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,ground,ground,ground,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,ground,ground,ground,ground,wall
wall,,,,,,,,,,,,,blueGem,,redGem,,,,,,,,,ground,ground,ground,ground,ground,ground,wall
wall,,,,,,,,,,,,,uhalfground,uhalfground,uhalfground,,,,,,,,ground,ground,ground,ground,ground,ground,ground,wall
wall,,blueGem,,ground,ground,ground,Lgreenwater,greenwater,greenwater,greenwater,Rgreenwater,ground,ground,ground,ground,ground,Lgreenwater,greenwater,greenwater,greenwater,Rgreenwater,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,,,,,,,,,,,downAttackMonster,,downAttackMonster,,,,,,,,,,,,,,,wall
wall,uground,uground,ground,dhalfground,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,uground,uground,uground,ground,dhalfground,dhalfground,,redGem,,,,,,,,,,,,,,,box,,downSwitch,,,,,wall
wall,uground,uground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,downPlatform,downPlatform,downPlatform,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,hlBlueWater,hblueWater,hblueWater,hblueWater,hrBlueWater,,,,,hlRedWater,hredWater,hredWater,hredWater,hrRedWater,,,,,,,,,,,,wall
wall,player1,player2,,,,,redGem,,,,,,,,,blueGem,,,,,,,,,downSwitch,,,,,wall
wall,ground,ground,ground,ground,Lredwater,redwater,redwater,redwater,Rredwater,ground,ground,ground,ground,Lbluewater,bluewater,bluewater,bluewater,Rbluewater,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
